Rule_name,Customer_type,Customer_ID,Hit_Date
R13,Corporate,66,2017/1/1
R11,Corporate,66,2017/1/2
R13,Corporate,66,2017/1/2
R13,Corporate,86,2017/1/2
R02,Individual,8,2017/1/3
R02,Individual,43,2017/1/3
R04,Individual,46,2017/1/3
R06,Individual,2,2017/1/3
R06,Individual,7,2017/1/3
R06,Individual,8,2017/1/3
R06,Individual,15,2017/1/3
R06,Individual,22,2017/1/3
R06,Individual,25,2017/1/3
R06,Individual,37,2017/1/3
R06,Individual,39,2017/1/3
R06,Individual,41,2017/1/3
R06,Individual,46,2017/1/3
R11,Corporate,66,2017/1/3
R11,Corporate,86,2017/1/3
R11,Corporate,95,2017/1/3
R11,Individual,43,2017/1/3
R13,Corporate,66,2017/1/3
R13,Corporate,68,2017/1/3
R13,Corporate,70,2017/1/3
R13,Corporate,83,2017/1/3
R13,Corporate,86,2017/1/3
R13,Corporate,88,2017/1/3
R13,Corporate,95,2017/1/3
R15,Corporate,70,2017/1/3
R15,Corporate,83,2017/1/3
R16,Corporate,70,2017/1/3
R16,Corporate,83,2017/1/3
R16,Corporate,86,2017/1/3
R02,Individual,32,2017/1/4
R03,Corporate,51,2017/1/4
R04,Individual,8,2017/1/4
R05,Corporate,51,2017/1/4
R06,Individual,2,2017/1/4
R06,Individual,7,2017/1/4
R06,Individual,8,2017/1/4
R06,Individual,15,2017/1/4
R06,Individual,22,2017/1/4
R06,Individual,24,2017/1/4
R06,Individual,31,2017/1/4
R06,Individual,37,2017/1/4
R06,Individual,38,2017/1/4
R06,Individual,39,2017/1/4
R06,Individual,41,2017/1/4
R06,Individual,46,2017/1/4
R10,Corporate,51,2017/1/4
R11,Corporate,51,2017/1/4
R11,Corporate,66,2017/1/4
R11,Individual,21,2017/1/4
R13,Corporate,51,2017/1/4
R13,Corporate,66,2017/1/4
R13,Corporate,68,2017/1/4
R13,Corporate,86,2017/1/4
R13,Corporate,88,2017/1/4
R13,Corporate,95,2017/1/4
R15,Corporate,51,2017/1/4
R16,Corporate,86,2017/1/4
R02,Individual,10,2017/1/5
R02,Individual,44,2017/1/5
R04,Individual,16,2017/1/5
R05,Corporate,66,2017/1/5
R06,Individual,8,2017/1/5
R06,Individual,18,2017/1/5
R06,Individual,22,2017/1/5
R06,Individual,24,2017/1/5
R06,Individual,31,2017/1/5
R06,Individual,37,2017/1/5
R06,Individual,38,2017/1/5
R06,Individual,39,2017/1/5
R06,Individual,40,2017/1/5
R06,Individual,41,2017/1/5
R06,Individual,46,2017/1/5
R08,Individual,10,2017/1/5
R11,Corporate,51,2017/1/5
R11,Corporate,66,2017/1/5
R11,Individual,10,2017/1/5
R11,Individual,17,2017/1/5
R13,Corporate,51,2017/1/5
R13,Corporate,66,2017/1/5
R13,Corporate,75,2017/1/5
R13,Corporate,84,2017/1/5
R13,Corporate,86,2017/1/5
R13,Corporate,88,2017/1/5
R15,Corporate,51,2017/1/5
R16,Corporate,86,2017/1/5
R02,Individual,44,2017/1/6
R04,Individual,25,2017/1/6
R04,Individual,37,2017/1/6
R06,Individual,3,2017/1/6
R06,Individual,8,2017/1/6
R06,Individual,18,2017/1/6
R06,Individual,22,2017/1/6
R06,Individual,24,2017/1/6
R06,Individual,31,2017/1/6
R06,Individual,37,2017/1/6
R06,Individual,38,2017/1/6
R06,Individual,39,2017/1/6
R06,Individual,40,2017/1/6
R06,Individual,41,2017/1/6
R06,Individual,46,2017/1/6
R07,Individual,41,2017/1/6
R11,Corporate,66,2017/1/6
R11,Corporate,88,2017/1/6
R11,Individual,25,2017/1/6
R13,Corporate,66,2017/1/6
R13,Corporate,68,2017/1/6
R13,Corporate,72,2017/1/6
R13,Corporate,84,2017/1/6
R13,Corporate,86,2017/1/6
R13,Corporate,88,2017/1/6
R16,Corporate,86,2017/1/6
R06,Individual,3,2017/1/7
R06,Individual,8,2017/1/7
R06,Individual,13,2017/1/7
R06,Individual,18,2017/1/7
R06,Individual,22,2017/1/7
R06,Individual,24,2017/1/7
R06,Individual,29,2017/1/7
R06,Individual,31,2017/1/7
R06,Individual,37,2017/1/7
R06,Individual,38,2017/1/7
R06,Individual,39,2017/1/7
R06,Individual,40,2017/1/7
R11,Corporate,66,2017/1/7
R13,Corporate,66,2017/1/7
R13,Corporate,84,2017/1/7
R05,Corporate,66,2017/1/8
R06,Individual,3,2017/1/8
R06,Individual,8,2017/1/8
R06,Individual,13,2017/1/8
R06,Individual,18,2017/1/8
R06,Individual,22,2017/1/8
R06,Individual,29,2017/1/8
R06,Individual,31,2017/1/8
R06,Individual,37,2017/1/8
R06,Individual,38,2017/1/8
R06,Individual,39,2017/1/8
R06,Individual,40,2017/1/8
R06,Individual,41,2017/1/8
R11,Corporate,66,2017/1/8
R13,Corporate,66,2017/1/8
R03,Corporate,66,2017/1/9
R04,Individual,9,2017/1/9
R06,Individual,1,2017/1/9
R06,Individual,2,2017/1/9
R06,Individual,3,2017/1/9
R06,Individual,8,2017/1/9
R06,Individual,13,2017/1/9
R06,Individual,15,2017/1/9
R06,Individual,18,2017/1/9
R06,Individual,19,2017/1/9
R06,Individual,22,2017/1/9
R06,Individual,24,2017/1/9
R06,Individual,29,2017/1/9
R06,Individual,31,2017/1/9
R06,Individual,32,2017/1/9
R06,Individual,37,2017/1/9
R06,Individual,38,2017/1/9
R06,Individual,39,2017/1/9
R06,Individual,40,2017/1/9
R06,Individual,41,2017/1/9
R06,Individual,42,2017/1/9
R07,Individual,41,2017/1/9
R10,Corporate,66,2017/1/9
R11,Corporate,66,2017/1/9
R11,Individual,9,2017/1/9
R13,Corporate,65,2017/1/9
R13,Corporate,66,2017/1/9
R13,Corporate,68,2017/1/9
R13,Corporate,81,2017/1/9
R13,Corporate,86,2017/1/9
R13,Corporate,88,2017/1/9
R16,Corporate,86,2017/1/9
R01,Corporate,88,2017/1/10
R03,Corporate,65,2017/1/10
R06,Corporate,65,2017/1/10
R06,Individual,1,2017/1/10
R06,Individual,2,2017/1/10
R06,Individual,3,2017/1/10
R06,Individual,8,2017/1/10
R06,Individual,13,2017/1/10
R06,Individual,15,2017/1/10
R06,Individual,18,2017/1/10
R06,Individual,19,2017/1/10
R06,Individual,24,2017/1/10
R06,Individual,28,2017/1/10
R06,Individual,29,2017/1/10
R06,Individual,31,2017/1/10
R06,Individual,32,2017/1/10
R06,Individual,37,2017/1/10
R06,Individual,38,2017/1/10
R06,Individual,39,2017/1/10
R06,Individual,40,2017/1/10
R06,Individual,41,2017/1/10
R06,Individual,42,2017/1/10
R06,Individual,43,2017/1/10
R07,Individual,41,2017/1/10
R11,Corporate,60,2017/1/10
R11,Corporate,75,2017/1/10
R11,Corporate,88,2017/1/10
R13,Corporate,51,2017/1/10
R13,Corporate,60,2017/1/10
R13,Corporate,66,2017/1/10
R13,Corporate,68,2017/1/10
R13,Corporate,75,2017/1/10
R13,Corporate,86,2017/1/10
R13,Corporate,88,2017/1/10
R15,Corporate,51,2017/1/10
R15,Corporate,60,2017/1/10
R16,Corporate,60,2017/1/10
R16,Corporate,86,2017/1/10
R03,Corporate,51,2017/1/11
R03,Corporate,60,2017/1/11
R06,Individual,1,2017/1/11
R06,Individual,2,2017/1/11
R06,Individual,3,2017/1/11
R06,Individual,8,2017/1/11
R06,Individual,13,2017/1/11
R06,Individual,15,2017/1/11
R06,Individual,18,2017/1/11
R06,Individual,19,2017/1/11
R06,Individual,28,2017/1/11
R06,Individual,29,2017/1/11
R06,Individual,31,2017/1/11
R06,Individual,32,2017/1/11
R06,Individual,37,2017/1/11
R06,Individual,39,2017/1/11
R06,Individual,40,2017/1/11
R06,Individual,41,2017/1/11
R06,Individual,42,2017/1/11
R10,Corporate,51,2017/1/11
R10,Corporate,60,2017/1/11
R13,Corporate,51,2017/1/11
R13,Corporate,60,2017/1/11
R13,Corporate,65,2017/1/11
R13,Corporate,66,2017/1/11
R13,Corporate,86,2017/1/11
R13,Corporate,88,2017/1/11
R15,Corporate,51,2017/1/11
R15,Corporate,60,2017/1/11
R16,Corporate,60,2017/1/11
R16,Corporate,70,2017/1/11
R16,Corporate,83,2017/1/11
R01,Corporate,92,2017/1/12
R02,Individual,44,2017/1/12
R03,Corporate,66,2017/1/12
R06,Individual,1,2017/1/12
R06,Individual,2,2017/1/12
R06,Individual,3,2017/1/12
R06,Individual,8,2017/1/12
R06,Individual,13,2017/1/12
R06,Individual,15,2017/1/12
R06,Individual,17,2017/1/12
R06,Individual,19,2017/1/12
R06,Individual,28,2017/1/12
R06,Individual,29,2017/1/12
R06,Individual,31,2017/1/12
R06,Individual,32,2017/1/12
R06,Individual,37,2017/1/12
R06,Individual,39,2017/1/12
R06,Individual,41,2017/1/12
R06,Individual,42,2017/1/12
R06,Individual,43,2017/1/12
R08,Individual,40,2017/1/12
R10,Corporate,66,2017/1/12
R11,Individual,23,2017/1/12
R11,Individual,40,2017/1/12
R13,Corporate,65,2017/1/12
R13,Corporate,66,2017/1/12
R13,Corporate,68,2017/1/12
R13,Corporate,86,2017/1/12
R13,Corporate,88,2017/1/12
R13,Corporate,90,2017/1/12
R13,Corporate,92,2017/1/12
R16,Corporate,86,2017/1/12
R01,Corporate,88,2017/1/13
R02,Individual,44,2017/1/13
R03,Corporate,51,2017/1/13
R03,Corporate,60,2017/1/13
R03,Corporate,61,2017/1/13
R04,Individual,34,2017/1/13
R05,Corporate,60,2017/1/13
R05,Corporate,61,2017/1/13
R06,Individual,1,2017/1/13
R06,Individual,2,2017/1/13
R06,Individual,3,2017/1/13
R06,Individual,8,2017/1/13
R06,Individual,13,2017/1/13
R06,Individual,15,2017/1/13
R06,Individual,17,2017/1/13
R06,Individual,19,2017/1/13
R06,Individual,28,2017/1/13
R06,Individual,29,2017/1/13
R06,Individual,31,2017/1/13
R06,Individual,32,2017/1/13
R06,Individual,39,2017/1/13
R06,Individual,41,2017/1/13
R06,Individual,42,2017/1/13
R06,Individual,43,2017/1/13
R10,Corporate,51,2017/1/13
R10,Corporate,60,2017/1/13
R10,Corporate,61,2017/1/13
R11,Corporate,61,2017/1/13
R11,Individual,34,2017/1/13
R13,Corporate,51,2017/1/13
R13,Corporate,52,2017/1/13
R13,Corporate,58,2017/1/13
R13,Corporate,60,2017/1/13
R13,Corporate,61,2017/1/13
R13,Corporate,65,2017/1/13
R13,Corporate,66,2017/1/13
R13,Corporate,68,2017/1/13
R13,Corporate,84,2017/1/13
R13,Corporate,86,2017/1/13
R13,Corporate,88,2017/1/13
R15,Corporate,51,2017/1/13
R15,Corporate,60,2017/1/13
R16,Corporate,86,2017/1/13
R06,Individual,1,2017/1/14
R06,Individual,2,2017/1/14
R06,Individual,3,2017/1/14
R06,Individual,13,2017/1/14
